id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1;TINTAS;TINTAS;284.285.642,00;193.695.427,00;187.251.954,00;161.593.877,00;295.404.693,00;282.003.228,00;222.289.729,00;272.772.106,00;295.012.354,00;301.385.687,00;196.759.139,00;290.765.867,00;341.083.460,00;170.165.573,00;261.019.229,00;385.216.611,00;225.069.529,00;218.625.428,00;359.389.651,00;254.480.942,00;314.756.312,00;217.625.877,00;263.373.326,00;258.584.904,00;298.954.232,00;313.953.430,00;231.499.856,00;276.583.456,00;242.607.184,00;327.487.348,00;397.963.584,00;324.932.786,00;369.274.630,00;286.752.289,00;447.942.704,00;359.381.282,00;310.671.646,00;430.628.346,00;466.504.230,00;391.196.306,00;409.514.092,00;532.937.101,00;527.332.818,00;460.738.996,00;471.555.903,00;537.592.720,00;235.356.261,00;600.605.876,00;519.506.589,00;0;376.136.313,00;394.224.543,00;0;502.666.358,00
2;ti_Bacarina;Bacarina;82.899,00;106.962,00;67.464,00;58.690,00;138.158,00;101.454,00;57.297,00;0,00;0,00;29.525,00;37.404,00;37.893,00;0,00;46.640,00;46.767,00;55.878,00;26.538,00;40.547,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.100,00;15.505,00;17.570,00;21.520,00;11.545,00;12.070,00;16.780,00;10.810,00;7.850,00;12.930,00;3.820,00;2.990,00;3.900,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
3;ti_Bailey;Bailey;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;425.674,00;12.421,00;7.917,00;35.614,00;66.503,00;94.805,00;236.139,00;235.828,00;559.815,00;604.895,00;769.140,00;912.286,00;756.000,00;991.449,00;963.159,00;442.784,00;1.370.092,00;539.742,00;0;534.981,00;4.092.669,00;0;587.066,00
4;ti_Bordo;Bordo;7.242.197,00;7.227.090,00;6.530.686,00;5.584.243,00;13.341.412,00;16.023.998,00;12.725.233,00;18.714.617,00;22.247.163,00;20.061.699,00;16.495.642,00;20.525.530,00;26.385.123,00;14.872.674,00;22.146.292,00;36.787.283,00;23.956.474,00;22.318.163,00;34.047.360,00;32.102.192,00;32.681.255,00;28.036.345,00;32.595.535,00;31.680.138,00;35.680.856,00;36.409.536,00;31.280.138,00;32.904.803,00;34.014.727,00;40.736.069,00;52.382.471,00;42.098.781,00;54.989.827,00;39.213.494,00;70.888.283,00;64.174.362,00;54.568.468,00;76.907.674,00;97.644.667,00;69.521.354,00;89.066.377,00;139.754.250,00;127.378.006,00;102.788.361,00;113.008.320,00;137.467.196,00;60.976.531,00;160.146.475,00;158.405.972,00;0;129.978.861,00;117.655.879,00;0;154.310.837,00
5;ti_Bourdin (S);Bourdin (S);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;78.952,00;0,00;0,00;0,00;7.270,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26.990,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
6;ti_BRSCarmen;BRS Carmen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.296,00;48.450,00;278.602,00;605.728,00;1.553.111,00;2.891.792,00;2.964.574,00;6.771.269,00;7.472.984,00;0;11.540.681,00;13.771.662,00;0;22.242.535,00
7;ti_BRSCora;BRS Cora;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.370,00;59.160,00;335.038,00;1.178.530,00;2.844.280,00;3.098.082,00;3.697.942,00;4.721.454,00;5.733.518,00;5.155.752,00;10.085.982,00;8.691.122,00;0;7.326.286,00;6.442.555,00;0;19.508.450,00
8;ti_BRS Magna;BRS Magna;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;600,00;28.560,00;275.616,00;1.605.458,00;2.292.084,00;0;3.989.275,00;2.094.359,00;0;13.919.693,00
9;ti_BRS Margot;BRS Margot;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.679,00;15.052,00;14.835,00;42.600,00;44.328,00;0;20.771,00;86.932,00;0;36.842,00
10;ti_BRSMorena;BRS Morena;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.114,00;0,00;0,00;2.600,00;6.500,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
29;ti_BRS Núbia ;BRS Núbia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;+;57.060,00
11;ti_BRS Rúbia;BRS Rúbia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.716,00;32.167,00;68.948,00;74.254,00;230.237,00;308.905,00;366.671,00;605.247,00;785.389,00;718.461,00;876.076,00;1.333.903,00;1.332.139,00;1.478.269,00;1.731.895,00;2.034.788,00;1.637.818,00;2.529.215,00;2.658.828,00;0;1.476.672,00;191.970,00;0;3.311.843,00
12;ti_BRSVioleta;BRS Violeta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.296,00;132.764,00;979.695,00;2.404.076,00;4.009.589,00;3.561.414,00;6.489.062,00;8.295.873,00;5.749.538,00;14.432.937,00;13.645.751,00;0;8.318.514,00;15.601.302,00;0;15.657.282,00
13;ti_BRS Vitória;BRS Vitória;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;125.731,00;0;8.820,00
15;ti_Champagnon(Champanheta);Champagnon (Champanheta);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.905,00;26.979,00;23.144,00;5.643,00;10.848,00;7.130,00;0,00;17.498,00;6.000,00;4.351,00;3.138,00;106,00;980,00;0,00;0,00;4.640,00;0,00;0;0,00;0,00;0;0,00
16;ti_Colecoes;Colecoes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;490,00;0,00;5.386,00;10.905,00;13.311,00;30.942,00;27.400,00;27.109,00;11.624,00;33.408,00;39.806,00;34.072,00;47.882,00;44.847,00;0,00;4.324,00;1.140,00;0;0,00;0,00;0;0,00
17;ti_Concord;Concord;5.407.624,00;3.726.469,00;2.262.221,00;1.850.704,00;5.218.933,00;7.361.018,00;6.140.559,00;7.387.125,00;8.520.060,00;9.016.712,00;5.640.991,00;10.751.352,00;11.470.646,00;6.864.134,00;8.550.370,00;17.270.192,00;8.864.661,00;11.047.563,00;16.295.035,00;12.222.671,00;15.417.034,00;14.941.796,00;14.188.621,00;19.215.089,00;21.325.339,00;19.710.821,00;16.894.753,00;25.314.872,00;21.850.423,00;21.225.797,00;30.977.892,00;32.948.855,00;34.686.034,00;27.455.055,00;36.107.207,00;37.460.265,00;26.526.274,00;25.732.390,00;44.291.027,00;39.227.727,00;41.446.763,00;44.201.322,00;44.395.218,00;34.237.661,00;30.755.828,00;39.180.980,00;15.254.862,00;36.172.976,00;31.971.535,00;0;9.984.266,00;367.793,00;0;25.091.503,00
18;ti_Concordclone30;Concord clone 30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;942.685,00;1.720.732,00;2.745.160,00;2.326.774,00;2.923.699,00;4.293.636,00;1.770.853,00;4.676.208,00;4.809.154,00;0;1.406.305,00;621.693,00;0;5.491.777,00
19;ti_Couderc;Couderc;2.713.692,00;2.835.642,00;2.550.812,00;2.602.220,00;5.057.735,00;4.052.782,00;4.084.126,00;4.214.237,00;4.406.881,00;5.113.513,00;4.431.263,00;4.779.453,00;6.234.132,00;4.643.069,00;5.544.207,00;7.341.937,00;5.474.248,00;6.244.818,00;6.141.396,00;8.457.905,00;6.959.591,00;5.270.323,00;6.545.413,00;7.880.808,00;10.306.977,00;8.015.634,00;8.736.532,00;10.236.308,00;9.098.481,00;15.235.782,00;18.482.712,00;17.623.308,00;20.199.921,00;22.395.538,00;30.938.797,00;25.596.933,00;23.869.435,00;32.652.378,00;33.179.502,00;29.388.964,00;24.092.319,00;35.686.727,00;27.237.702,00;26.722.044,00;30.181.906,00;27.693.447,00;17.522.126,00;31.791.586,00;25.797.806,00;0;16.974.342,00;54.081.578,00;0;23.121.275,00
20;ti_Cynthiana(1);Cynthiana(1);568.653,00;419.550,00;535.172,00;360.571,00;605.039,00;544.666,00;351.881,00;738.472,00;491.780,00;414.158,00;285.705,00;388.118,00;400.575,00;172.523,00;553.285,00;467.677,00;304.481,00;286.589,00;397.685,00;327.562,00;342.604,00;221.319,00;321.747,00;394.647,00;304.456,00;368.619,00;415.262,00;470.750,00;292.590,00;501.809,00;655.439,00;788.473,00;741.160,00;809.515,00;1.093.197,00;977.034,00;932.587,00;1.705.777,00;1.220.666,00;1.279.382,00;1.151.540,00;1.249.033,00;1.492.979,00;1.290.743,00;1.490.695,00;1.596.711,00;694.778,00;2.083.008,00;1.200.824,00;0;1.084.022,00;7.346.675,00;0;1.186.253,00
