id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1;TINTAS;TINTAS;10.448.228,00;11.012.833,00;10.798.824,00;8.213.674,00;17.457.849,00;22.593.885,00;20.265.190,00;24.830.345,00;21.984.546,00;25.805.939,00;17.369.967,00;27.976.307,00;31.912.172,00;22.168.465,00;22.290.855,00;30.195.343,00;18.736.158,00;17.213.860,00;25.753.888,00;24.032.041,00;24.795.507,00;18.045.593,00;22.146.466,00;21.189.308,00;24.444.665,00;19.451.024,00;19.313.252,00;19.980.696,00;13.590.968,00;18.051.102,00;23.975.805,00;17.853.113,00;19.059.959,00;22.281.079,00;35.135.485,00;41.398.115,00;34.162.995,00;43.653.087,00;48.852.574,00;39.148.123,00;23.633.831,00;44.473.588,00;39.303.313,00;36.855.419,00;29.810.706,00;29.935.627,00;13.370.866,00;32.850.915,00;26.868.514,00;0;28.003.505,00;93.296.587,00;0;35.881.118,23
2;ti_Alicante Bouschet;Alicante Bouschet;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.226,00;6.807,00;6.677,00;16.210,00;8.203,00;46.923,00;46.983,00;0,00;0,00;54.266,00;6.525,00;66.194,00;65.322,00;67.471,00;64.396,00;102.174,00;160.318,00;160.966,00;216.461,00;320.853,00;626.500,00;1.076.865,00;1.078.887,00;1.775.837,00;1.588.326,00;1.652.912,00;849.263,00;2.130.579,00;2.098.824,00;1.524.728,00;1.456.305,00;1.519.576,00;908.841,00;2.040.198,00;2.103.844,00;0;2.272.985,00;811.140,00;0;4.108.858,21
3;ti_Ancelota;Ancelota;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26.088,00;47.013,00;64.318,00;218.623,00;604.797,00;861.431,00;872.741,00;1.532.209,00;1.709.883,00;1.370.728,00;853.718,00;1.346.552,00;1.274.677,00;1.137.943,00;937.844,00;773.526,00;179.028,00;733.907,00;492.106,00;0;481.402,00;6.513.974,00;0;783.688,39
4;ti_Aramon;Aramon;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37.384,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
5;ti_Alfrocheiro;Alfrocheiro;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13.986,00;19.473,00;43.396,00;20.509,00;25.310,00;31.168,00;0,00;4.320,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0;0,00
6;ti_Arinarnoa;Arinarnoa;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.394,00;11.480,00;24.878,00;12.686,00;39.607,00;35.790,00;49.376,00;81.026,00;65.001,00;56.666,00;61.817,00;17.691,00;69.757,00;44.775,00;0;90.860,00;2.785.609,00;0;147.979,40
7;ti_Aspirant Bouschet;Aspirant Bouschet;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.258,00;7.448,00;3.650,00;7.091,00;8.859,00;12.901,00;18.086,00;12.830,00;0;34.513,00;15.691.137,00;0;138.338,00
8;ti_Barbera;Barbera;4.548.313,00;3.971.627,00;4.035.482,00;3.152.247,00;8.334.170,00;9.017.873,00;7.406.493,00;9.426.011,00;7.621.931,00;8.756.427,00;6.230.235,00;9.078.325,00;11.552.200,00;7.521.496,00;5.947.760,00;7.290.172,00;3.553.090,00;2.845.387,00;4.447.914,00;3.414.379,00;2.587.150,00;1.449.146,00;1.703.396,00;999.104,00;978.852,00;559.435,00;594.591,00;342.488,00;183.269,00;149.019,00;397.479,00;142.690,00;107.641,00;87.309,00;104.139,00;92.672,00;57.116,00;68.946,00;92.279,00;70.932,00;26.044,00;76.397,00;47.549,00;40.630,00;19.514,00;19.980,00;14.738,00;24.218,00;21.863,00;0;12.349,00;437.640,00;0;35.292,00
9;ti_Bonarda;Bonarda;1.631.610,00;1.868.929,00;1.875.069,00;885.582,00;1.888.558,00;2.564.146,00;2.280.229,00;2.963.398,00;2.237.040,00;2.396.836,00;1.120.992,00;2.516.029,00;2.210.953,00;1.502.343,00;1.164.038,00;1.754.291,00;877.037,00;658.716,00;639.841,00;657.726,00;586.098,00;236.195,00;400.909,00;237.867,00;282.711,00;139.404,00;146.851,00;51.131,00;33.225,00;88.710,00;67.152,00;47.406,00;22.983,00;18.445,00;24.322,00;21.021,00;3.843,00;6.207,00;7.640,00;2.320,00;0,00;250,00;1.114,00;0,00;0,00;0,00;0,00;0,00;0,00;0;0,00;3.110,00;0;7.800,00
10;ti_Cabernet Franc;Cabernet Franc;238.837,00;324.924,00;572.871,00;1.360.672,00;2.909.343,00;4.262.538,00;4.813.859,00;6.615.376,00;5.575.835,00;6.800.089,00;5.152.023,00;8.414.657,00;8.730.177,00;7.437.092,00;7.286.708,00;10.342.293,00;6.403.968,00;6.616.589,00;9.129.403,00;7.962.486,00;7.568.645,00;4.935.095,00;5.462.304,00;4.447.660,00;4.788.430,00;4.284.749,00;4.341.461,00;3.420.121,00;2.588.929,00;2.910.807,00;4.419.829,00;2.989.553,00;2.856.507,00;3.022.334,00;3.855.570,00;3.869.854,00;3.285.083,00;4.081.725,00;4.008.067,00;3.365.865,00;2.125.997,00;2.741.150,00;2.594.675,00;2.452.229,00;1.894.496,00;1.981.004,00;820.996,00;2.116.893,00;1.524.191,00;0;1.506.219,00;16.626.545,00;0;2.152.213,13
